,true,preds,dif
459,0.0,20.291159,-20.29
460,0.0,21.810926,-21.81
461,0.0,20.78705,-20.79
462,0.0,18.19733,-18.2
463,0.0,17.529394,-17.53
464,0.0,17.559443,-17.56
465,0.0,19.328176,-19.33
466,0.0,23.777435,-23.78
467,0.0,30.317417,-30.32
468,0.0,22.485441,-22.49
469,0.0,16.693636,-16.69
470,0.0,16.64831,-16.65
471,0.0,22.112478,-22.11
472,0.0,30.045334,-30.05
473,0.0,40.744507,-40.74
474,0.0,44.989254,-44.99
475,0.0,63.75198,-63.75
476,0.0,78.0785,-78.08
477,0.0,82.60955,-82.61
478,0.0,95.85277,-95.85
479,0.0,72.73727,-72.74
480,0.0,58.416878,-58.42
481,0.0,42.038223,-42.04
482,0.0,24.729435,-24.73
483,0.0,14.954429,-14.95
484,0.0,11.161968,-11.16
485,0.0,11.402868,-11.4
486,0.0,11.489524,-11.49
487,0.0,13.919419,-13.92
488,0.0,12.0464735,-12.05
489,0.0,12.801135,-12.8
490,0.0,12.896818,-12.9
491,0.0,10.759483,-10.76
492,0.0,14.114752,-14.11
493,0.0,17.388052,-17.39
494,0.0,19.939072,-19.94
495,0.0,28.933552,-28.93
496,0.0,20.660383,-20.66
497,0.0,14.24616,-14.25
498,0.0,10.691064,-10.69
499,0.0,10.183191,-10.18
500,0.0,10.276028,-10.28
501,0.0,10.708925,-10.71
502,0.0,10.466502,-10.47
503,0.0,10.30984,-10.31
504,0.0,10.209045,-10.21
505,0.0,9.763735,-9.76
506,0.0,10.342131,-10.34
507,0.0,14.680471,-14.68
508,0.0,16.277487,-16.28
509,0.0,26.495485,-26.5
510,0.0,33.5025,-33.5
511,0.0,52.3105,-52.31
512,0.0,72.90028,-72.9
513,0.0,68.47669,-68.48
514,0.0,51.045143,-51.05
515,0.0,37.315224,-37.32
516,0.0,29.661255,-29.66
517,0.0,19.256178,-19.26
518,0.0,16.321028,-16.32
519,0.0,16.544937,-16.54
520,0.0,16.269434,-16.27
521,0.0,13.63686,-13.64
522,0.0,14.127303,-14.13
523,0.0,13.587342,-13.59
524,0.0,13.16379,-13.16
525,0.0,13.084005,-13.08
526,0.0,13.025871,-13.03
527,0.0,13.129269,-13.13
528,0.0,12.915304,-12.92
529,0.0,13.08079,-13.08
530,0.0,12.069127,-12.07
531,0.0,11.330216,-11.33
532,0.0,11.63124,-11.63
533,0.0,11.53201,-11.53
534,0.0,11.444954,-11.44
535,0.0,11.657033,-11.66
536,0.0,11.608639,-11.61
537,0.0,13.028715,-13.03
538,0.0,12.270574,-12.27
539,0.0,12.483605,-12.48
540,0.0,12.3492155,-12.35
541,0.0,12.90324,-12.9
542,0.0,12.4049635,-12.4
543,0.0,13.045483,-13.05
544,0.0,12.982508,-12.98
545,0.0,12.677874,-12.68
546,0.0,12.618061,-12.62
547,0.0,12.729033,-12.73
548,0.0,12.75234,-12.75
549,0.0,12.677502,-12.68
550,0.0,12.6411,-12.64
551,0.0,12.387792,-12.39
552,0.0,12.573155,-12.57
553,0.0,12.123466,-12.12
554,0.0,12.430403,-12.43
555,0.0,12.545321,-12.55
556,0.0,12.154954,-12.15
557,0.0,12.492896,-12.49
558,0.0,13.034247,-13.03
559,0.0,13.337414,-13.34
560,0.0,13.549319,-13.55
561,0.0,13.646823,-13.65
562,0.0,13.633561,-13.63
563,0.0,13.555209,-13.56
564,0.0,13.873148,-13.87
565,0.0,13.83825,-13.84
566,0.0,13.722166,-13.72
567,0.0,13.329158,-13.33
568,0.0,13.382753,-13.38
569,0.0,13.0692005,-13.07
570,0.0,12.855215,-12.86
571,0.0,12.270042,-12.27
572,0.0,12.752137,-12.75
573,0.0,13.016426,-13.02
574,0.0,13.151344,-13.15
575,0.0,13.224889,-13.22
576,0.0,13.739743,-13.74
577,0.0,14.389252,-14.39
578,0.0,14.8255415,-14.83
579,0.0,14.857322,-14.86
580,0.0,14.844157,-14.84
581,0.0,15.007501,-15.01
582,0.0,14.684256,-14.68
583,0.0,14.661589,-14.66
584,0.0,14.82075,-14.82
585,0.0,14.936485,-14.94
586,0.0,14.974441,-14.97
587,0.0,14.929705,-14.93
588,0.0,15.172612,-15.17
589,0.0,15.278935,-15.28
590,0.0,15.242844,-15.24
591,0.0,15.23338,-15.23
592,0.0,15.5827675,-15.58
593,0.0,15.667191,-15.67
594,0.0,16.167187,-16.17
595,0.0,16.420649,-16.42
596,0.0,16.214075,-16.21
597,0.0,16.02576,-16.03
598,0.0,15.636247,-15.64
599,0.0,15.61067,-15.61
600,0.0,15.501423,-15.5
601,0.0,15.584327,-15.58
602,0.0,15.517837,-15.52
603,0.0,15.546487,-15.55
604,0.0,15.6880665,-15.69
605,0.0,16.101786,-16.1
606,0.0,16.501602,-16.5
607,0.0,16.05942,-16.06
608,0.0,16.183357,-16.18
609,0.0,15.957276,-15.96
610,0.0,15.901429,-15.9
611,0.0,15.840433,-15.84
612,0.0,15.95575,-15.96
613,0.0,16.093359,-16.09
614,0.0,16.45409,-16.45
615,0.0,16.706882,-16.71
616,0.0,16.99398,-16.99
617,0.0,17.178738,-17.18
618,0.0,17.797813,-17.8
619,0.0,19.234022,-19.23
620,0.0,21.119576,-21.12
621,0.0,19.170248,-19.17
622,0.0,17.871838,-17.87
623,0.0,18.705297,-18.71
624,0.0,17.14125,-17.14
625,0.0,16.43041,-16.43
626,0.0,16.539095,-16.54
627,0.0,16.089453,-16.09
628,0.0,15.840023,-15.84
629,0.0,16.12889,-16.13
630,0.0,16.491478,-16.49
631,0.0,15.955721,-15.96
632,0.0,15.904877,-15.9
633,0.0,15.537241,-15.54
634,0.0,15.696065,-15.7
635,0.0,16.427729,-16.43
636,0.0,17.650806,-17.65
637,0.0,19.048534,-19.05
638,0.0,20.047958,-20.05
639,0.0,18.489897,-18.49
640,0.0,17.696062,-17.7
641,0.0,18.146433,-18.15
642,0.0,17.45372,-17.45
643,0.0,17.623932,-17.62
644,0.0,17.985598,-17.99
645,0.0,18.694092,-18.69
646,0.0,18.496906,-18.5
647,0.0,19.134026,-19.13
648,0.0,18.390244,-18.39
649,0.0,17.650589,-17.65
650,0.0,17.825394,-17.83
651,0.0,16.854914,-16.85
652,0.0,18.041046,-18.04
653,0.0,18.078878,-18.08
654,0.0,17.874758,-17.87
655,0.0,18.514238,-18.51
656,0.0,18.544916,-18.54
657,0.0,18.389948,-18.39
658,0.0,18.523182,-18.52
659,0.0,17.438604,-17.44
660,0.0,17.741753,-17.74
661,0.0,18.990711,-18.99
662,0.0,19.885227,-19.89
663,0.0,20.322403,-20.32
664,0.0,24.648493,-24.65
665,0.0,34.42785,-34.43
666,0.0,39.68262,-39.68
667,0.0,69.0852,-69.09
668,0.0,67.82269,-67.82
669,0.0,77.82721,-77.83
670,0.0,51.886913,-51.89
671,0.0,53.913338,-53.91
672,0.0,51.796936,-51.8
673,0.0,50.136032,-50.14
674,0.0,56.079193,-56.08
675,0.0,77.487015,-77.49
676,0.0,87.47465,-87.47
677,0.0,117.32515,-117.33
678,0.0,94.95429,-94.95
679,0.0,162.18187,-162.18
680,0.0,147.42923,-147.43
681,0.0,151.59708,-151.6
682,0.0,183.21146,-183.21
683,0.0,269.6649,-269.66
684,0.0,252.05264,-252.05
685,0.0,204.03343,-204.03
686,0.0,184.38474,-184.38
687,0.0,151.85771,-151.86
688,0.0,90.57987,-90.58
689,0.0,59.789684,-59.79
690,0.0,64.74259,-64.74
691,0.0,83.19326,-83.19
692,0.0,73.9061,-73.91
693,0.0,76.681786,-76.68
694,0.0,84.42087,-84.42
695,0.0,94.141106,-94.14
696,0.0,123.25715,-123.26
697,0.0,154.32178,-154.32
698,0.0,208.13254,-208.13
699,0.0,205.54027,-205.54
